time;NETWORK_B1_v_a;NETWORK_B1_Urms;NETWORK_LINE_i_a;NETWORK_LINE_Irms;
0.004870;0.169122;0.981218;-0.000274;0.494464;
0.004880;0.164879;0.981225;-0.002457;0.494464;
0.004890;0.160632;0.981232;-0.004642;0.494463;
0.004900;0.156383;0.981238;-0.006828;0.494463;
0.004910;0.152130;0.981244;-0.009016;0.494463;
0.004920;0.147875;0.981250;-0.011205;0.494463;
0.004930;0.143616;0.981256;-0.013396;0.494463;
0.004940;0.139354;0.981261;-0.015588;0.494463;
0.004950;0.135090;0.981266;-0.017781;0.494463;
0.004960;0.130822;0.981271;-0.019976;0.494463;
0.004970;0.126551;0.981276;-0.022172;0.494463;
0.004980;0.122277;0.981280;-0.024369;0.494463;
0.004990;0.118000;0.981284;-0.026567;0.494463;
0.005000;0.113720;0.981288;-0.028766;0.494463;
0.005010;0.109438;0.981291;-0.030966;0.494463;
0.005020;0.105152;0.981294;-0.033168;0.494464;
0.005030;0.100863;0.981297;-0.035370;0.494464;
0.005040;0.096572;0.981300;-0.037572;0.494464;
0.005050;0.092278;0.981303;-0.039776;0.494465;
0.005060;0.087980;0.981305;-0.041980;0.494465;
0.005070;0.083681;0.981307;-0.044185;0.494466;
0.005080;0.079378;0.981309;-0.046391;0.494466;
0.005090;0.075073;0.981311;-0.048597;0.494467;
0.005100;0.070765;0.981313;-0.050803;0.494468;
0.005110;0.066454;0.981314;-0.053010;0.494469;
0.005120;0.062141;0.981316;-0.055217;0.494470;
0.005130;0.057825;0.981317;-0.057424;0.494471;
0.005140;0.053507;0.981318;-0.059632;0.494472;
0.005150;0.049187;0.981319;-0.061839;0.494473;
0.005160;0.044864;0.981320;-0.064047;0.494474;
0.005170;0.040539;0.981320;-0.066255;0.494476;
0.005180;0.036212;0.981321;-0.068463;0.494477;
0.005190;0.031882;0.981321;-0.070670;0.494479;
0.005200;0.027551;0.981322;-0.072878;0.494480;
