time;CAPBUS_cap_p_v_0_;MACHINE_generator_terminal_i_0_;MACHINE_generator_omegaPu;MACHINE_generator_UStatorPu;MACHINE_generator_efdPu;MACHINE_generator_ifPu;MACHINE_voltageRegulator_EfdPu;
0.005600;-0.068558;0.110679;0.999986;0.931640;1.241937;0.959332;1.241937;
0.005620;-0.073304;0.116720;0.999986;0.932303;1.228671;0.959196;1.228671;
0.005640;-0.077770;0.122770;0.999986;0.932612;1.222492;0.959050;1.222492;
0.005660;-0.082022;0.128824;0.999986;0.932634;1.222058;0.958900;1.222058;
0.005680;-0.086130;0.134876;0.999986;0.932442;1.225887;0.958748;1.225887;
0.005700;-0.090169;0.140925;0.999986;0.932116;1.232417;0.958598;1.232417;
0.005720;-0.094216;0.146967;0.999986;0.931733;1.240062;0.958451;1.240062;
0.005740;-0.098349;0.153001;0.999985;0.931373;1.247272;0.958307;1.247272;
0.005760;-0.102644;0.159029;0.999985;0.931107;1.252586;0.958166;1.252586;
0.005780;-0.107171;0.165053;0.999985;0.931002;1.254687;0.958026;1.254687;
0.005800;-0.111997;0.171075;0.999985;0.931114;1.252447;0.957883;1.252447;
0.005820;-0.117178;0.177101;0.999985;0.931489;1.244961;0.957735;1.244961;
0.005840;-0.122764;0.183135;0.999985;0.932158;1.231581;0.957576;1.231581;
0.005860;-0.128792;0.189183;0.999985;0.933140;1.211937;0.957402;1.211937;
0.005880;-0.135290;0.195253;0.999985;0.934439;1.185947;0.957208;1.185947;
0.005900;-0.142272;0.201350;0.999985;0.936045;1.153823;0.956988;1.153823;
0.005920;-0.149741;0.207482;0.999985;0.937934;1.116058;0.956738;1.116058;
0.005940;-0.157686;0.213653;0.999985;0.940066;1.073420;0.956452;1.073420;
0.005960;-0.166086;0.219871;0.999985;0.942391;1.026921;0.956127;1.026921;
0.005980;-0.174910;0.226138;0.999985;0.944847;0.977791;0.955760;0.977791;
0.006000;-0.184116;0.232459;0.999984;0.947365;0.927437;0.955349;0.927437;
0.006020;-0.193652;0.238835;0.999984;0.949867;0.877401;0.954893;0.877401;
0.006040;-0.203463;0.245267;0.999984;0.952271;0.829310;0.954392;0.829310;
0.006060;-0.213485;0.251753;0.999984;0.954495;0.784827;0.953847;0.784827;
0.006080;-0.223656;0.258289;0.999984;0.956457;0.745592;0.953264;0.745592;
0.006100;-0.233908;0.264873;0.999984;0.958078;0.713171;0.952645;0.713171;
0.006120;-0.244177;0.271495;0.999984;0.959286;0.689002;0.951996;0.689002;
0.006140;-0.254402;0.278148;0.999984;0.960019;0.674343;0.951326;0.674343;
0.006160;-0.264526;0.284823;0.999984;0.960225;0.670228;0.950641;0.670228;
0.006180;-0.274499;0.291507;0.999984;0.959865;0.677427;0.949952;0.677427;
0.006200;-0.284278;0.298189;0.999984;0.958916;0.696413;0.949267;0.696413;
0.006220;-0.293830;0.304854;0.999984;0.957369;0.727346;0.948597;0.727346;
0.006240;-0.303132;0.311491;0.999984;0.955234;0.770056;0.947952;0.770056;
0.006260;-0.312171;0.318083;0.999984;0.952534;0.824046;0.947343;0.824046;
