time;GEN_generator_theta;GEN_generator_omegaPu;GEN_generator_eqPPu;GEN_generator_psi1d;GEN_generator_psi2q;GEN_generator_PGenPu;GEN_generator_QGenPu;GEN_generator_sePu;GEN_generator_UPu;
1.285040;0.655092;0.997835;0.982874;0.917050;-0.367971;0.891953;-0.044408;0.086707;0.983942;
1.288358;0.652788;0.997742;0.982843;0.917342;-0.367818;0.886385;-0.043728;0.086684;0.984168;
1.291675;0.650388;0.997652;0.982813;0.917646;-0.367597;0.880706;-0.043075;0.086661;0.984391;
1.294993;0.647896;0.997564;0.982784;0.917964;-0.367311;0.874918;-0.042446;0.086640;0.984611;
1.298311;0.645313;0.997479;0.982757;0.918296;-0.366961;0.869027;-0.041842;0.086619;0.984828;
1.301629;0.642643;0.997396;0.982731;0.918642;-0.366548;0.863038;-0.041259;0.086599;0.985044;
1.304946;0.639887;0.997315;0.982707;0.919002;-0.366073;0.856954;-0.040698;0.086581;0.985257;
1.308264;0.637049;0.997237;0.982684;0.919376;-0.365538;0.850782;-0.040156;0.086564;0.985467;
1.311582;0.634131;0.997162;0.982662;0.919765;-0.364944;0.844525;-0.039633;0.086547;0.985676;
1.314900;0.631135;0.997089;0.982642;0.920168;-0.364292;0.838189;-0.039128;0.086532;0.985882;
1.318217;0.628066;0.997019;0.982624;0.920586;-0.363583;0.831778;-0.038640;0.086518;0.986085;
1.321535;0.624925;0.996952;0.982607;0.921017;-0.362819;0.825298;-0.038167;0.086506;0.986287;
