time;MACHINE_machine_omegaPu;MACHINE_machine_UStatorPu;MACHINE_machine_PGenPu;BUSGEN_bus_p_v_0_;BUSHV_bus_p_v_0_;
0.007100;0.999991;0.909363;0.644194;-0.989516;-0.912533;
0.007120;0.999990;0.913155;0.647537;-0.995364;-0.918552;
0.007140;0.999990;0.916943;0.650780;-1.001187;-0.924630;
0.007160;0.999990;0.920721;0.653915;-1.006982;-0.930769;
0.007180;0.999990;0.924482;0.656935;-1.012752;-0.936967;
0.007200;0.999990;0.928218;0.659832;-1.018495;-0.943223;
0.007220;0.999990;0.931923;0.662600;-1.024212;-0.949534;
0.007240;0.999990;0.935590;0.665233;-1.029905;-0.955898;
0.007260;0.999990;0.939213;0.667723;-1.035572;-0.962311;
0.007280;0.999990;0.942787;0.670067;-1.041217;-0.968770;
0.007300;0.999989;0.946305;0.672260;-1.046840;-0.975272;
0.007320;0.999989;0.949762;0.674296;-1.052442;-0.981810;
0.007340;0.999989;0.953152;0.676173;-1.058025;-0.988382;
0.007360;0.999989;0.956470;0.677887;-1.063591;-0.994981;
0.007380;0.999989;0.959712;0.679435;-1.069142;-1.001601;
0.007400;0.999989;0.962872;0.680816;-1.074678;-1.008238;
0.007420;0.999989;0.965947;0.682028;-1.080202;-1.014884;
0.007440;0.999989;0.968931;0.683070;-1.085716;-1.021535;
0.007460;0.999989;0.971822;0.683942;-1.091221;-1.028182;
0.007480;0.999988;0.974614;0.684645;-1.096718;-1.034821;
0.007500;0.999988;0.977305;0.685178;-1.102209;-1.041443;
0.007520;0.999988;0.979892;0.685544;-1.107695;-1.048044;
0.007540;0.999988;0.982370;0.685745;-1.113177;-1.054616;
0.007560;0.999988;0.984737;0.685783;-1.118655;-1.061153;
0.007580;0.999988;0.986990;0.685661;-1.124131;-1.067649;
0.007600;0.999988;0.989126;0.685382;-1.129603;-1.074098;
0.007620;0.999988;0.991144;0.684951;-1.135072;-1.080493;
0.007640;0.999988;0.993042;0.684372;-1.140538;-1.086830;
